time,Open,High,Low,Close,Volume
2025-08-26 15:00:00+00:00,110380.6,110540.4,110037.6,110097.7,26.12318743
2025-08-26 15:30:00+00:00,110097.6,110097.6,109591.0,109670.1,28.17158921
2025-08-26 16:00:00+00:00,109670.1,109750.2,109525.0,109658.1,9.56534758
2025-08-26 16:30:00+00:00,109662.4,110150.3,109615.0,110150.3,7.63430948
2025-08-26 17:00:00+00:00,110150.3,110150.3,109800.0,109863.6,7.6997156
2025-08-26 17:30:00+00:00,109859.9,109944.9,109594.1,109944.9,28.57198313
2025-08-26 18:00:00+00:00,109944.9,110447.5,109944.8,110447.5,41.12843782
2025-08-26 18:30:00+00:00,110447.6,110988.6,110400.0,110695.0,93.50296944
2025-08-26 19:00:00+00:00,110695.0,111100.0,110553.0,111100.0,27.34430837
2025-08-26 19:30:00+00:00,111100.0,111130.2,110854.6,111128.4,29.17074733
2025-08-26 20:00:00+00:00,111128.5,111393.2,110935.1,111376.1,30.39749061
2025-08-26 20:30:00+00:00,111376.1,111376.1,111183.2,111345.4,17.38483197
2025-08-26 21:00:00+00:00,111345.4,111364.6,111187.6,111300.9,17.93193961
2025-08-26 21:30:00+00:00,111301.0,111550.8,111273.2,111550.8,18.80405457
2025-08-26 22:00:00+00:00,111550.7,111888.2,111550.7,111675.2,62.1491093
2025-08-26 22:30:00+00:00,111675.2,111888.0,111591.3,111888.0,10.02528866
2025-08-26 23:00:00+00:00,111888.0,112395.6,111887.9,111965.9,15.63169176
2025-08-26 23:30:00+00:00,111965.8,111965.9,111767.6,111829.3,10.3125431
2025-08-27 00:00:00+00:00,111829.3,111829.3,111628.4,111642.0,17.22806419
2025-08-27 00:30:00+00:00,111641.9,111804.2,111351.0,111351.1,72.60215788
2025-08-27 01:00:00+00:00,111351.1,111415.7,111224.5,111246.6,11.86692699
2025-08-27 01:30:00+00:00,111246.6,111309.2,111121.0,111270.0,17.1778115
2025-08-27 02:00:00+00:00,111270.0,111464.7,111200.0,111380.3,5.72114595
2025-08-27 02:30:00+00:00,111380.3,111445.8,111180.0,111180.1,1.89333373
2025-08-27 03:00:00+00:00,111178.6,111178.6,110968.3,110968.4,5.68987008
2025-08-27 03:30:00+00:00,110968.4,111660.2,110968.3,111462.6,8.5561916
2025-08-27 04:00:00+00:00,111462.6,111662.0,111435.2,111440.0,6.07313623
2025-08-27 04:30:00+00:00,111440.1,111600.0,111440.0,111582.5,3.43256631
2025-08-27 05:00:00+00:00,111582.5,111625.0,111410.3,111410.4,22.9886458
2025-08-27 05:30:00+00:00,111410.4,111411.8,111327.8,111374.7,10.45406842
2025-08-27 06:00:00+00:00,111374.8,111374.8,111237.5,111263.5,1.57655797
2025-08-27 06:30:00+00:00,111262.6,111262.6,111016.0,111016.1,2.49718841
2025-08-27 07:00:00+00:00,111016.1,111050.0,110607.4,110787.4,87.46544094
2025-08-27 07:30:00+00:00,110789.6,110845.9,110668.9,110674.4,19.62265714
2025-08-27 08:00:00+00:00,110674.5,110827.6,110593.4,110593.5,7.73202682
2025-08-27 08:30:00+00:00,110593.4,110730.8,110434.3,110730.8,7.83858436
2025-08-27 09:00:00+00:00,110730.8,110994.9,110725.7,110994.8,17.42519603
2025-08-27 09:30:00+00:00,110994.7,111050.0,110815.0,110815.1,26.97048211
2025-08-27 10:00:00+00:00,110815.1,111192.2,110815.0,111036.0,10.12440112
2025-08-27 10:30:00+00:00,111036.1,111100.1,110962.4,111036.5,6.34157239
2025-08-27 11:00:00+00:00,111036.6,111205.6,111025.0,111201.1,17.2377113
2025-08-27 11:30:00+00:00,111201.1,111365.3,111201.0,111340.0,6.84235831
